city,year,weekofyear,total_cases
sj,2008,18,27
sj,2008,19,25
sj,2008,20,30
sj,2008,21,26
sj,2008,22,28
sj,2008,23,29
sj,2008,24,29
sj,2008,25,35
sj,2008,26,40
sj,2008,27,37
sj,2008,28,34
sj,2008,29,26
sj,2008,30,32
sj,2008,31,36
sj,2008,32,42
sj,2008,33,42
sj,2008,34,44
sj,2008,35,50
sj,2008,36,53
sj,2008,37,51
sj,2008,38,44
sj,2008,39,33
sj,2008,40,50
sj,2008,41,35
sj,2008,42,35
sj,2008,43,35
sj,2008,44,33
sj,2008,45,42
sj,2008,46,35
sj,2008,47,32
sj,2008,48,30
sj,2008,49,17
sj,2008,50,20
sj,2008,51,28
sj,2008,52,15
sj,2009,1,22
sj,2009,2,17
sj,2009,3,25
sj,2009,4,21
sj,2009,5,15
sj,2009,6,14
sj,2009,7,18
sj,2009,8,15
sj,2009,9,14
sj,2009,10,17
sj,2009,11,22
sj,2009,12,23
sj,2009,13,25
sj,2009,14,19
sj,2009,15,20
sj,2009,16,16
sj,2009,17,17
sj,2009,18,20
sj,2009,19,17
sj,2009,20,19
sj,2009,21,22
sj,2009,22,26
sj,2009,23,25
sj,2009,24,26
sj,2009,25,28
sj,2009,26,32
sj,2009,27,33
sj,2009,28,56
sj,2009,29,54
sj,2009,30,71
sj,2009,31,51
sj,2009,32,48
sj,2009,33,44
sj,2009,34,39
sj,2009,35,42
sj,2009,36,45
sj,2009,37,49
sj,2009,38,46
sj,2009,39,43
sj,2009,40,45
sj,2009,41,48
sj,2009,42,55
sj,2009,43,53
sj,2009,44,36
sj,2009,45,38
sj,2009,46,33
sj,2009,47,32
sj,2009,48,36
sj,2009,49,26
sj,2009,50,33
sj,2009,51,31
sj,2009,52,22
sj,2010,53,21
sj,2010,1,25
sj,2010,2,25
sj,2010,3,28
sj,2010,4,19
sj,2010,5,18
sj,2010,6,20
sj,2010,7,21
sj,2010,8,29
sj,2010,9,38
sj,2010,10,23
sj,2010,11,38
sj,2010,12,38
sj,2010,13,21
sj,2010,14,18
sj,2010,15,21
sj,2010,16,29
sj,2010,17,54
sj,2010,18,49
sj,2010,19,34
sj,2010,20,38
sj,2010,21,33
sj,2010,22,35
sj,2010,23,40
sj,2010,24,51
sj,2010,25,55
sj,2010,26,48
sj,2010,27,58
sj,2010,28,70
sj,2010,29,53
sj,2010,30,67
sj,2010,31,60
sj,2010,32,59
sj,2010,33,61
sj,2010,34,70
sj,2010,35,66
sj,2010,36,66
sj,2010,37,72
sj,2010,38,69
sj,2010,39,46
sj,2010,40,50
sj,2010,41,59
sj,2010,42,40
sj,2010,43,32
sj,2010,44,40
sj,2010,45,46
sj,2010,46,26
sj,2010,47,23
sj,2010,48,25
sj,2010,49,23
sj,2010,50,22
sj,2010,51,16
sj,2011,52,18
